Arrival Time, Inter Arrival Time
255.773231,0.205315
257.515522,1.742291
258.091025,0.575503
258.934266,0.843241
261.033580,2.099314
262.266783,1.233203
267.035068,4.768286
268.140280,1.105211
271.358857,3.218578
271.548368,0.189511
271.928783,0.380415
272.536119,0.607335
277.956377,5.420259
278.747710,0.791332
280.131925,1.384216
281.464240,1.332315
284.679337,3.215097
286.213968,1.534631
286.947780,0.733811
290.522947,3.575167
290.963515,0.440568
292.732513,1.768998
293.593233,0.860720
296.721371,3.128138
297.041587,0.320216
300.738575,3.696988
303.095697,2.357122
306.209491,3.113793
308.729231,2.519740
309.474376,0.745146
312.239142,2.764766
313.552104,1.312962
314.418592,0.866488
314.717936,0.299344
319.798334,5.080398
323.741646,3.943312
327.068391,3.326745
327.076660,0.008268
327.869324,0.792664
328.494830,0.625506
330.065435,1.570605
332.232602,2.167167
334.632041,2.399439
335.362178,0.730138
340.996675,5.634497
343.785099,2.788423
346.932878,3.147780
349.431546,2.498668
349.511810,0.080265
350.512977,1.001167
351.478340,0.965363
355.571146,4.092806
360.671366,5.100220
361.135860,0.464493
363.936483,2.800624
364.662759,0.726276
364.767802,0.105043
366.967291,2.199489
368.527815,1.560525
369.067236,0.539420
370.542279,1.475043
371.517170,0.974891
373.266627,1.749457
373.596081,0.329453
374.221557,0.625476
374.949069,0.727513
375.572524,0.623455
378.699230,3.126705
380.086592,1.387363
382.808367,2.721774
384.665350,1.856983
385.482883,0.817533
386.496310,1.013427
388.457839,1.961529
389.195262,0.737423
391.445012,2.249750
391.857788,0.412776
394.813020,2.955232
396.429015,1.615995
396.435589,0.006574
401.142478,4.706889
401.882196,0.739718
402.967561,1.085365
403.448720,0.481158
406.944101,3.495381
407.993124,1.049023
408.275332,0.282208
408.602780,0.327448
410.648735,2.045955
411.876320,1.227586
415.014515,3.138195
415.542311,0.527796
415.716632,0.174321
417.354932,1.638300
418.150546,0.795614
418.679288,0.528742
418.846465,0.167176
421.429281,2.582816
422.709608,1.280328
423.279657,0.570049
424.661288,1.381631
425.014134,0.352846
425.300917,0.286783
427.262267,1.961350
428.257985,0.995718
428.562974,0.304989
428.866459,0.303484
435.796475,6.930016
436.070385,0.273910
437.168751,1.098366
438.211856,1.043105
439.776237,1.564381
442.509982,2.733745
445.910166,3.400185
450.711168,4.801002
451.783680,1.072512
455.097524,3.313844
459.916668,4.819144
460.371074,0.454406
463.997747,3.626672
465.751941,1.754194
466.851385,1.099444
469.885687,3.034301
472.788369,2.902682
473.298520,0.510151
475.552619,2.254100
477.801724,2.249105
480.005127,2.203403
481.131167,1.126040
481.424940,0.293773
481.850420,0.425481
481.964323,0.113902
483.543956,1.579633
486.034784,2.490828
488.757345,2.722561
489.676148,0.918804
496.018042,6.341893
496.897889,0.879847
496.909255,0.011366
497.322647,0.413392
499.983181,2.660535
500.543020,0.559839
501.240530,0.697510
501.464803,0.224272
501.796951,0.332149
505.260467,3.463516
506.541324,1.280856
510.026940,3.485617
510.135265,0.108324
513.268198,3.132933
518.696807,5.428609
522.740819,4.044012
523.907750,1.166931
526.320922,2.413172
527.756847,1.435925
530.347760,2.590913
532.405923,2.058163
536.385028,3.979105
539.654737,3.269708
540.024088,0.369351
540.378351,0.354263
542.202213,1.823862
547.276083,5.073869
547.786514,0.510432
549.904532,2.118018
556.146185,6.241654
558.076566,1.930381
558.643981,0.567415
559.392071,0.748090
561.563364,2.171293
562.153184,0.589820
562.660184,0.507000
563.260740,0.600555
